"Concept"	"Feature"
"1384"	"caribou"	"has_fur"
"1385"	"caribou"	"has_horns"
"1386"	"caribou"	"has_legs"
"1387"	"caribou"	"hunted_by_Eskimos"
"1388"	"caribou"	"hunted_by_people"
"1389"	"caribou"	"is_brown"
"1390"	"caribou"	"is_fast"
"1391"	"caribou"	"is_large"
"1392"	"caribou"	"lives_in_north"
"1393"	"caribou"	"lives_in_wilderness"
"1394"	"caribou"	"lives_in_woods"
"1395"	"carpet"	"different_colours"
"1396"	"carpet"	"found_in_houses"
"1397"	"carpet"	"found_on_floors"
"1398"	"carpet"	"is_colourful"
"1399"	"carpet"	"is_cozy"
"1400"	"carpet"	"is_decorative"
"1401"	"carpet"	"is_dirty"
"1402"	"carpet"	"is_plush"
"1403"	"carpet"	"is_shag"
"1404"	"carpet"	"is_soft"
"1405"	"carpet"	"is_thick"
"1406"	"carpet"	"is_wall_to_wall"
"1407"	"carpet"	"made_of_wool"
"1408"	"carpet"	"requires_vacuuming"
"1409"	"carpet"	"used_for_covering_floors"
"1410"	"carpet"	"used_for_walking_on"
"1411"	"carpet"	"used_for_warmth"
"1430"	"cart"	"has_2_wheels"
"1431"	"cart"	"has_4_wheels"
"1432"	"cart"	"has_wheels"
"1433"	"cart"	"is_large"
"1434"	"cart"	"made_of_metal"
"1435"	"cart"	"made_of_wood"
"1436"	"cart"	"used_by_pulling"
"1437"	"cart"	"used_by_pulling_by_horses"
"1438"	"cart"	"used_by_pushing"
"1439"	"cart"	"used_for_cargo"
"1440"	"cart"	"used_for_shopping"
"1461"	"catapult"	"a_weapon"
"1462"	"catapult"	"has_wheels"
"1463"	"catapult"	"is_large"
"1464"	"catapult"	"is_medieval"
"1465"	"catapult"	"made_of_wood"
"1466"	"catapult"	"used_for_launching_objects"
"1467"	"catapult"	"used_for_throwing"
"1468"	"catapult"	"used_for_throwing_stones"
"1469"	"catapult"	"used_for_war"
"1609"	"chandelier"	"a_light_fixture"
"1610"	"chandelier"	"found_in_ballrooms"
"1611"	"chandelier"	"found_in_dining_rooms"
"1612"	"chandelier"	"has_candles"
"1613"	"chandelier"	"has_lightbulbs"
"1614"	"chandelier"	"is_electrical"
"1615"	"chandelier"	"is_expensive"
"1616"	"chandelier"	"is_heavy"
"1617"	"chandelier"	"is_shiny"
"1618"	"chandelier"	"is_sparkly"
"1619"	"chandelier"	"made_of_crystal"
"1620"	"chandelier"	"made_of_glass"
